VR ID,Bid ID,Lane,CPT,,Volume (cuft),Status,SDT Time,,
115S13LG2,,OAK4->ONT5,2018-09-01,1:15:00,1456.7,COMPLETED,9/1/2018,1:15:00,AM
113RGZCSB,,OAK4->ONT5,2018-09-01,1:15:00,1997.29,COMPLETED,9/1/2018,12:27:00,AM
11437G5M4,,OAK4->ONT5,2018-09-02,1:15:00,2064.62,COMPLETED,9/1/2018,9:30:00,PM
112TK9MDH,,OAK4->ONT5,2018-09-02,1:15:00,1201.59,COMPLETED,9/2/2018,1:15:00,AM
113KZZSPX,14591232,OAK4->ONT5,2018-09-03,1:15:00,160.36,COMPLETED,9/3/2018,5:00:00,AM
114269RZB,,OAK4->ONT5,2018-09-03,1:15:00,1877.07,COMPLETED,9/3/2018,1:15:00,AM
113XFF4FF,,OAK4->ONT5,9/3/2018,1:15:00,1874.03,COMPLETED,9/2/2018,10:30:00,PM
1111VC3VM,14628032,OAK4->ONT5,9/4/2018,1:15:00,1709,COMPLETED,9/3/2018,11:00:00,PM
114KSYN68,,OAK4->ONT5,9/4/2018,1:15:00,1962.43,COMPLETED,9/3/2018,10:30:00,PM
115L5B814,FindWork,OAK4->ONT5,9/4/2018,1:15:00,,CANCELLED,9/3/2018,10:30:00,PM
112CW38SB,,OAK4->ONT5,9/4/2018,1:15:00,269.77,COMPLETED,9/4/2018,1:15:00,AM
112QY2Y15,,OAK4->ONT5,9/5/2018,1:15:00,1802.59,COMPLETED,9/5/2018,1:15:00,AM
1126JPL3N,,OAK4->ONT5,9/5/2018,1:15:00,2005.49,COMPLETED,9/4/2018,10:30:00,PM
112WZ8Y32,,OAK4->ONT5,9/6/2018,1:15:00,1582.08,COMPLETED,9/6/2018,1:15:00,AM
113K72J1X,FindWork,OAK4->ONT5,9/6/2018,1:15:00,2264.69,COMPLETED,9/5/2018,10:30:00,PM
112WF5QMR,,OAK4->ONT5,9/7/2018,1:15:00,1938.88,COMPLETED,9/6/2018,10:30:00,PM
1161ZRDV7,,OAK4->ONT5,9/7/2018,1:15:00,1625.05,COMPLETED,9/7/2018,1:15:00,AM
1166TBWXV,,OAK4->ONT5,9/8/2018,1:15:00,1583.02,COMPLETED,9/8/2018,1:15:00,AM
116JL58HL,,OAK4->ONT5,9/8/2018,1:15:00,1972.83,COMPLETED,9/7/2018,10:30:00,PM
1162VCYXQ,,OAK4->ONT5,9/9/2018,1:15:00,1788.2,COMPLETED,9/9/2018,1:15:00,AM
111JW5H5C,,OAK4->ONT5,9/9/2018,1:15:00,2098.16,COMPLETED,9/8/2018,11:25:00,PM
1117T8M8R,,OAK4->ONT5,9/10/2018,1:15:00,2036.23,COMPLETED,9/9/2018,10:30:00,PM
115WJ87JV,,OAK4->ONT5,9/10/2018,1:15:00,1283.97,COMPLETED,9/10/2018,1:15:00,AM
111S167R9,,OAK4->ONT5,9/11/2018,1:15:00,1716.88,COMPLETED,9/11/2018,1:15:00,AM
1148TTJJV,,OAK4->ONT5,9/11/2018,1:15:00,2121.17,COMPLETED,9/10/2018,11:27:00,PM
1161T5JZN,,OAK4->ONT5,9/12/2018,1:15:00,2079.66,COMPLETED,9/11/2018,10:30:00,PM
11461G3P4,,OAK4->ONT5,9/12/2018,1:15:00,1671.33,COMPLETED,9/12/2018,1:15:00,AM
11559CV55,,OAK4->ONT5,9/13/2018,1:15:00,2222.79,COMPLETED,9/13/2018,12:27:00,AM
111CHPCP8,,OAK4->ONT5,9/13/2018,1:15:00,1696.2,COMPLETED,9/13/2018,1:15:00,AM
